,short_name,cluster
756,F. Neuhaus,1
757,M. Zaracho,1
758,Ferro,1
759,J. Andersen,1
760,D. Zakaria,1
761,I. Diop,1
762,H. Onyekuru,1
763,J. Ikoné,1
764,C. Ünder,1
765,M. Ødegaard,0
766,J. Bamba,1
767,N. Amiri,1
768,O. Zinchenko,1
769,J. Mateta,1
770,O. Yokuşlu,1
771,B. Cristante,1
772,L. Dendoncker,1
773,M. Dahoud,1
774,N. Elvedi,1
775,Joelinton,1
776,Daniel Podence,1
777,G. Dzhikiya,1
778,Aarón Martín,1
779,E. Bardhi,1
780,N. Maksimović,1
781,Calero,1
782,J. Butland,1
783,Óliver Torres,1
784,G. Laborde,1
785,R. De Paul,1
786,D. Selke,1
787,M. Lemina,1
788,D. Origi,1
789,E. Pulgar,1
790,A. Miranchuk,1
791,W. Barrios,0
792,J. Musso,1
793,Rúben Vezo,1
794,B. Santamaria,1
795,Y. Mina,1
796,Joan Jordán,1
797,L. Tousart,1
798,Y. Yazıcı,1
799,M. Gregoritsch,1
800,J. Lascelles,1
801,T. Vilhena,0
802,Denis Suárez,1
803,K. Rekik,1
804,B. Traoré,1
805,I. Amadou,0
806,M. Meyer,1
807,José Sá,1
808,A. Selikhov,1
809,A. Mitrović,1
810,G. Maripán,1
811,E. Skhiri,1
812,D. Dumfries,1
813,Bruno Viana,1
814,M. Sels,1
815,A. Soumaoro,1
816,J. Veretout,0
817,V. Fischer,1
818,S. Meïté,1
819,J. Boëtius,1
820,D. Berardi,1
821,R. Gagliardini,1
822,R. Saravia,1
823,Ayoze Pérez,1
824,H. Hateboer,1
825,B. Verbič,1
826,G. Martínez,1
827,Rafael Tolói,1
828,S. Duffy,1
829,F. Lejeune,1
830,L. Dunk,1
831,Pedro Mendes,1
832,Fernando,1
833,K. Fortounis,1
834,C. Hérelle,1
835,Omar Mascarell,1
836,Bruma,1
837,S. Deli,1
838,M. Ngadeu,1
839,V. Wanyama,1
840,C. Kabasele,1
841,A. Delort,1
842,Joel Robles,1
843,Sérgio Oliveira,1
844,V. Aboubakar,1
845,M. Uth,1
846,M. Doherty,1
847,David López,1
848,R. Freuler,1
849,D. Demme,1
850,A. Schwolow,1
851,J. Vestergaard,1
852,F. Mollet,1
853,J. Hofmann,1
854,V. Grifo,1
